pos_code;foto_lokasi_bagian_depan;foto_lokasi_bagian_dalam;foto_tambahan_lokasi_pos;status_upload;timestamp
POS11973;https://drive.google.com/open?id=1CaZt5xc2ROLHUyBSwPhRUwN9b2lAQW-a;https://drive.google.com/open?id=17kcfT4jQ2XCdyGOui91aL-Av0nai9Mg_;https://drive.google.com/open?id=1dvoTlCkiRBsrp7N31W3GZGbRd8NVhxx3;APPROVE;2022-07-28
POS12004;https://drive.google.com/open?id=1e3ljrMuLKz7869HQRGWROenjVFi0kVF2;https://drive.google.com/open?id=1L57DH-7ADuMLEsg1fff4hNhZn0Qwuci8;https://drive.google.com/open?id=1ONqgEy8mR044K77NnKRFMFl5C0QQiEaj;APPROVE;2022-07-28
POS11917;https://drive.google.com/open?id=1wxbvZUtTEERKk5sfi3YVu1O8_hU717k7;https://drive.google.com/open?id=1bwCIqaWVeoA4lRHstZHvgAAacLk116Jm;https://drive.google.com/open?id=18WLAbv0GqxKRpT72pNT2auxgkYiTMF77;APPROVE;2022-07-28
POS11995;https://drive.google.com/open?id=1v4kcyL8sIbIzo10xFBhfoKJ8lZOES3fk;https://drive.google.com/open?id=1wDA_YzIaki4ZJsxWDmdHVgY1C8_ZeVzG;https://drive.google.com/open?id=199mTsMKEuHsQOH2MBi3XkTYpxbIM9JcL;APPROVE;2022-07-28
POS11996;https://drive.google.com/open?id=17X1bDJM2QO4dciEntbaZsODDpN3cZAfY;https://drive.google.com/open?id=111lJQI841zZRPTEUkBKleFZU-XLSRatr;https://drive.google.com/open?id=1y7MAttFL6sMtHlD3eCcaiMq9Wc2f1nMl;APPROVE;2022-07-28
POS11846;https://drive.google.com/open?id=1cH5DE-HHmgQthMYXREi6-KUe437x7T7v;https://drive.google.com/open?id=1AtntSR-e8Vpi06kr3kQCcvRkerO1rNBs;https://drive.google.com/open?id=1OBXK9kJeYLSUPnq7Vfck41B7QjboL8ft;APPROVE;2022-07-28
POS11943;https://drive.google.com/open?id=15hqGhDScYA309E66dp3RaEdIbC3NpjH8;https://drive.google.com/open?id=15fE3bAWmc_ruZJqmjs-3n2xQ4vSDxc5-;https://drive.google.com/open?id=1GvEKpk6UBFriTTXqmnPe18jMt1VpqFNV;APPROVE;2022-07-28
POS11925;https://drive.google.com/open?id=1OQwlmJFB8cBSKkjM9gTJQ2uaXmvF2SsX;https://drive.google.com/open?id=1gz2J_m6SOmmJMxhSgFLgP3hNyZPLcXII;https://drive.google.com/open?id=1TqsFtdhWXki7S1yipoiND7VkPstxV6Ck;APPROVE;2022-07-28
POS11884;https://drive.google.com/open?id=1X6MOVeUuI1-c0-cxBz4Wil6EPjy6ucoy;https://drive.google.com/open?id=1GdqPE67s9MUortQSt7wgvGj3d618gGEP;https://drive.google.com/open?id=15OCiupH3x7hHlQLDQJhDDuRWVZHtmLXz;APPROVE;2022-07-29
POS11972;https://drive.google.com/open?id=1icMESluh0abkrvM3Vsko_3MO28wcKlIw;https://drive.google.com/open?id=1lpLHnLRrORuUjy73aOF_lM1X1vwda0Mj;https://drive.google.com/open?id=1N8KrGpb3W29Z1g3SEPcb7V53YGTVs_CP;APPROVE;2022-07-29
POS11965;https://drive.google.com/open?id=1aYRUdsgTrrSus7BFO-WJBx1j-AKd3tIo;https://drive.google.com/open?id=1q_W72AJiul2SuSVLQpgArlL42hQZc6HF;https://drive.google.com/open?id=1hdJ6A3b2nwwJLvyvZXFrFv_eAI3XwJVW;APPROVE;2022-07-29
POS12002;https://drive.google.com/open?id=1XPwN7Vy7VnP4dAEBms2AyjiPo8NTFws0;https://drive.google.com/open?id=14e5V5vKDoceWKmWWy0S2mDSbhqgemehI;https://drive.google.com/open?id=1Ifb9ky6s47qKgcJTd5uuXC64cMFVTgdJ;APPROVE;2022-07-29
POS11949;https://drive.google.com/open?id=1YyHjpR7Olvxla2mURQYGppu3Yp9h6Qq2;https://drive.google.com/open?id=13XeRNZnQzhqJRj-9MAYkqf9v9nv4tHC_;https://drive.google.com/open?id=1ynNA4WDFAaBFAZifWa_zOthFt-kepTVf;APPROVE;2022-07-30
POS12063;https://drive.google.com/open?id=1zhjdfLjw5wQYx9ENei-oHFeQP7UsQOSR;https://drive.google.com/open?id=1V5I_Yz5VS5AVB2qnj6ISztOtlBtArW7j;https://drive.google.com/open?id=1b2ejrWj2m1rU_TIYlyn1ksFQgFNws7mT;APPROVE;2022-07-30
POS11868;https://drive.google.com/open?id=17fPOu9H8MszJAzQLTFyuXqHNnmdWNnJm;https://drive.google.com/open?id=1Akp9E94Vsj9cE-osumJ6bjOKX37k5Zk3;https://drive.google.com/open?id=1DhwS6FxqPVGzbd78XDHaCNB2v8ONYis7;APPROVE;2022-07-31
POS11906;https://drive.google.com/open?id=1NznjEa7t3FgYZrjK3XtggyIJwXIE4xBt;https://drive.google.com/open?id=1YuI5QBb1FHXuNLLPfvZxJpIMxJCxon;https://drive.google.com/open?id=1NMMqM60xKSIRPclCbNcaeoRRQ1NmUwoZ;APPROVE;2022-07-31
POS12074;https://drive.google.com/open?id=1vhWober3QgXEg36Gv9NF73UrL1r2IOo2;https://drive.google.com/open?id=1GLO3GTvT4VmDwRHMnqPR-nHrgBHRt3uD;https://drive.google.com/open?id=1rNYIfG1qiRuklSdrGckKwMF44T59midh;APPROVE;2022-08-01
POS11975;https://drive.google.com/open?id=1nWWnircR6JhLArGqt56A2YTO1srHccHi;https://drive.google.com/open?id=12aEK0GhSB7pDL-OPlvT7U772UPRVsBtK;https://drive.google.com/open?id=13azQRp4QifgiYmqHxYhSNUSWuhGTT98e;APPROVE;2022-08-01
POS11977;https://drive.google.com/open?id=1EYFPgQbWxbswxgJdQfBuWi5O0tj8ul_H;https://drive.google.com/open?id=1Gb4wGPjCDTTZhbVzIJreVJCv09tFid6b;https://drive.google.com/open?id=1v69JxvteQFqh0qoQvWPEX7VlZg1bS-0b;APPROVE;2022-08-01
POS11816;https://drive.google.com/open?id=1cqnArJsPfnI_fBDnplZcrEReBWgOpKxB;https://drive.google.com/open?id=1LmEKFCxE1sWWXJvenATpQ5BfpUEcROGM;https://drive.google.com/open?id=1LzhLIzqxUF1QT5BXzbUXtK-7SqnfNWM9;APPROVE;2022-08-01
POS12053;https://drive.google.com/open?id=1zZ6bpwKOXsYM6J5CMqojBb6T6v1tzMAT;https://drive.google.com/open?id=1m-U7pGuvwHX2Y4r3VlJgFs91oN-HjjgZ;https://drive.google.com/open?id=1thYtO8ymGX_T47ffe33Ge89kWfVgMNKf;APPROVE;2022-08-01
POS12019;https://drive.google.com/open?id=1zrriUDV7z5Luxp26VO1j1siDopYuXQYF;https://drive.google.com/open?id=1GIaZXs08ATOgm10ZuIguUysLB8b3P-Kx;https://drive.google.com/open?id=1bF0I2XIE9MYA7adGa0dxigytH3QxBxqT;APPROVE;2022-08-01
POS12054;https://drive.google.com/open?id=19p7ZWSdXTcOx1Jm5YEFpEiLl4sTU9XNc;https://drive.google.com/open?id=1lGe1edJoUUmKlcqO3SMvNPinbXuw3s4X;https://drive.google.com/open?id=1iX3pfARn9i-PUui1_ewGeXWWhHmvufGm;APPROVE;2022-08-01
POS12032;https://drive.google.com/open?id=1fuSVOGNK0jKnjZ9B-my7aLY85731alR-;https://drive.google.com/open?id=10tlZgBwocrbY7D9cehDjsdE9jstjHNrT;https://drive.google.com/open?id=19UgE87Qfn39rHD1YrpnWGlXPxCtxRH5R;APPROVE;2022-08-01
POS11888;https://drive.google.com/open?id=1PPfede0OWDdnLrfQLAH6XqrSt2yPYQEC;https://drive.google.com/open?id=12bXKwiJEp6gByVUYu29UzoMWoGZObrTB;https://drive.google.com/open?id=1Wyp5rS4PkhekBjIGZhz6v56la07nBQxZ;APPROVE;2022-08-01
POS12046;https://drive.google.com/open?id=16aiLwCDP7EZsH1wHnDgB2EXm2hSj6wQf;https://drive.google.com/open?id=1Mhd9akygrjwSjALiYkRG0CctbiNaP5V6;https://drive.google.com/open?id=1Rl6Evkq1nw-qx3l9QTQbwt5z18ALlD9B;APPROVE;2022-08-01
POS11685;https://drive.google.com/open?id=1InQkWeseUc2pyTkQdCK1rR9qy98pH_9v;https://drive.google.com/open?id=17jXz5TsQ1CifIU0_wsygNIK4utdVClm0;https://drive.google.com/open?id=1UVo_kh2XXPLRAaBrPasg32QzfUBgMTU9;APPROVE;2022-08-01
POS12061;https://drive.google.com/open?id=1qFLkN1LKW3ZFFhmsFcv4sLV18usDmZ7c;https://drive.google.com/open?id=13bEps_c1RIsAE6bvpuXV9jxcqGKD2zNB;https://drive.google.com/open?id=1UDMS6yCRUFixOXL4rAIAujiweWkGLzJf;APPROVE;2022-08-01
POS12062;https://drive.google.com/open?id=18BhDxhCq1TwpqdIIxIdIHUO4gBbuoOsa;https://drive.google.com/open?id=17ks1DvTnGODbY1WM0NH18Mz_lBHz1kwi;https://drive.google.com/open?id=1ZOFn5eyJp3mSLXCTygFBlGDLaoV5GIxY;APPROVE;2022-08-01
POS11611;https://drive.google.com/open?id=16Z2bjO1SDuE4Xi9JSx88uWyOIWC6NcBj;https://drive.google.com/open?id=1IFOla-eU8n1kgj6CmqlXsJQdmlOsp3NN;https://drive.google.com/open?id=1HW2N0cULL6B5m2swgqG_3yUiVnFOjqYh;APPROVE;2022-08-02
POS12007;https://drive.google.com/open?id=1Ug4qx8b8v3R4_eSwDyP6sfx-llv6ib;https://drive.google.com/open?id=1To0cs0JZBDP43JUkB6OsHrqPqXk6oFgp;https://drive.google.com/open?id=1VmBBw-yzvERfJb-uah8rL-U2eNgy3qpz;APPROVE;2022-08-02
